JiraGitKey,JiraTicketKey,StoryPoint,GitHubRepo,CommitMessage,CommitTime,ProjectName,DeveloperKey
1,ceff9281-6fe4-4111-98de-6da2cfe955dd,4,strategize B2B relationships,Initial commit for project strategize B2B relationships by Jennifer Wilson,2024-05-20 21:52:13.244042,strategize B2B relationships,4
2,19c7bf25-614f-49c6-80fc-85aaeae46031,8,reinvent vertical networks,Initial commit for project reinvent vertical networks by Elizabeth Smith,2023-05-03 20:18:58.633305,reinvent vertical networks,11
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Douglas Rollins,2023-08-21 03:00:25.840359,productize cross-platform supply-chains,5
4,571dac46-3769-434d-a02e-47ed98a24ce7,12,repurpose viral supply-chains,Initial commit for project repurpose viral supply-chains by Jennifer Wilson,2023-07-17 19:54:56.461210,repurpose viral supply-chains,4
5,455bacf9-e000-46aa-aa83-f07e53dd7aa1,2,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Tanya Ware,2024-02-21 17:14:25.892007,productize cross-platform supply-chains,10
6,e16a4fbb-2de6-4a59-b6e0-2f14f5e8686d,17,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by John Jefferson,2024-01-05 06:28:32.570347,engineer cross-media e-business,8
7,7355ea45-85b3-41a4-813d-5141b3e03f04,12,engineer open-source niches,Initial commit for project engineer open-source niches by Susan Bates,2024-03-09 12:22:51.009807,engineer open-source niches,19
8,7c939b77-366e-4aba-8776-64a50854cae2,6,strategize B2B relationships,Initial commit for project strategize B2B relationships by Joshua Sparks,2024-01-24 08:54:09.674543,strategize B2B relationships,7
9,a564c02f-95b5-4ed8-9d5e-e2b0ff87624d,12,strategize B2B relationships,Initial commit for project strategize B2B relationships by Bradley Hampton,2023-12-20 13:43:15.062582,strategize B2B relationships,15
10,420b7cf5-74c9-40e9-ac3f-825eb0f17022,14,engineer cross-media e-business,Initial commit for project engineer cross-media e-business by Mark Bruce,2023-11-08 07:05:21.181844,engineer cross-media e-business,17
11,073f0205-b6ed-43c7-b897-31bb839e10a3,3,reinvent vertical networks,Initial commit for project reinvent vertical networks by Susan Bates,2023-03-04 14:28:19.908107,reinvent vertical networks,19
12,e4f6c461-0a1d-4f21-bea3-1859e3e86674,10,engineer open-source niches,Initial commit for project engineer open-source niches by Joshua Sparks,2023-09-08 08:09:25.487549,engineer open-source niches,7
13,e03056cc-9dd0-4781-913a-8eb119c62e12,10,reinvent vertical networks,Initial commit for project reinvent vertical networks by Joe Carter,2023-10-10 20:30:14.580967,reinvent vertical networks,3
14,62b5203d-1a6b-43bd-983d-6e1d1e093a43,7,synergize B2C experiences,Initial commit for project synergize B2C experiences by Nancy Rogers,2024-02-12 10:48:18.115373,synergize B2C experiences,2
15,47b44681-1145-4395-8e97-6b4385602ce3,18,productize cross-platform supply-chains,Initial commit for project productize cross-platform supply-chains by Mark Bruce,2024-02-13 13:22:35.955379,productize cross-platform supply-chains,17
