JiraGitKey,ProjectKey,DeveloperKey,StoryPoints,JiraTicket,GitHubRepo,CommitMessage,CommitTime
1,8,20,6,4c0dd275-50c0-4a72-9b63-a7be5158e7c8,engage out-of-the-box infrastructures,Initial commit for project engage out-of-the-box infrastructures by Cheryl Velazquez,2023-11-30 00:36:18.608967
2,8,7,13,0b00a6ea-7eb0-44f0-a195-966f0b8bf53f,engage out-of-the-box infrastructures,Initial commit for project engage out-of-the-box infrastructures by Sarah Kemp,2024-03-04 22:11:01.105366
3,10,16,10,afaa3ed9-d5a3-4810-b78d-588c1e634b77,innovate innovative solutions,Initial commit for project innovate innovative solutions by James Berg,2023-07-01 21:40:39.138937
4,9,1,18,3aeb49a4-85dc-4041-822b-b6803e426fca,embrace back-end metrics,Initial commit for project embrace back-end metrics by Anna Thompson,2023-05-13 18:41:13.038512
5,3,14,16,c395eb4c-0c83-4402-a117-2d8b23bf82ca,utilize cross-media niches,Initial commit for project utilize cross-media niches by Clinton Cain,2024-01-14 05:24:51.985048
6,1,7,20,29498afe-8029-418c-9cc3-d77beea5be11,incubate seamless users,Initial commit for project incubate seamless users by Sarah Kemp,2024-03-27 11:57:40.385278
7,6,9,4,848b4cb9-a13c-4546-815d-0e6611b93653,optimize plug-and-play initiatives,Initial commit for project optimize plug-and-play initiatives by Allison Miller,2023-11-11 12:04:34.462208
8,9,2,7,d650a868-e36a-41ba-9515-4b0bb423c62d,embrace back-end metrics,Initial commit for project embrace back-end metrics by John Carpenter,2023-08-20 12:00:31.428885
9,6,15,3,58c3f67a-a4d2-46a1-8b69-492e3cdb6295,optimize plug-and-play initiatives,Initial commit for project optimize plug-and-play initiatives by Paul Lewis,2023-10-07 03:08:07.484953
10,2,12,6,55f3b335-f782-450d-a67c-9f4d7208c157,maximize interactive convergence,Initial commit for project maximize interactive convergence by Marcus King,2023-05-19 08:00:43.436173
11,3,11,8,fc630309-5508-47ff-bc03-c21407edd4ef,utilize cross-media niches,Initial commit for project utilize cross-media niches by Michael Wade,2024-09-27 05:37:33.378567
12,7,2,19,760cd987-0a03-40b7-a0ce-97c61adbed32,enhance magnetic architectures,Initial commit for project enhance magnetic architectures by John Carpenter,2024-06-20 16:04:03.228769
13,1,17,6,0466cc6c-a3bd-4f80-a8fc-2980030f199d,incubate seamless users,Initial commit for project incubate seamless users by James Martinez,2023-11-27 17:35:14.272730
14,7,18,4,8eac56a9-e196-4959-86e6-924f2b39693d,enhance magnetic architectures,Initial commit for project enhance magnetic architectures by Leonard Warner,2023-10-05 23:08:59.932438
15,8,12,16,5215affc-2f1e-4752-b264-a5ea2bacc2b9,engage out-of-the-box infrastructures,Initial commit for project engage out-of-the-box infrastructures by Marcus King,2024-01-15 04:08:49.887957
16,7,8,1,2da58f48-9196-4908-945e-b0a04a70c21b,enhance magnetic architectures,Initial commit for project enhance magnetic architectures by Adam Jenkins MD,2023-07-30 07:10:38.730037
17,9,10,9,e677da8f-2e8c-4686-988d-4c4bc88affc1,embrace back-end metrics,Initial commit for project embrace back-end metrics by Melissa Hamilton,2023-06-15 21:41:28.222236
18,6,14,16,7a32999d-3957-4ae9-93a1-82b9d80c47de,optimize plug-and-play initiatives,Initial commit for project optimize plug-and-play initiatives by Clinton Cain,2024-03-03 15:17:16.986239
19,8,1,1,a6a55317-b202-4099-85ed-cf6438b6fd3e,engage out-of-the-box infrastructures,Initial commit for project engage out-of-the-box infrastructures by Anna Thompson,2024-04-13 05:51:11.194184
