JiraGitKey,JiraTicketKey,StoryPoint,GitHubRepo,CommitMessage,CommitTime,ProjectName,DeveloperKey
1,ceff9281-6fe4-4111-98de-6da2cfe955dd,4,strategize B2B relationships,Commit 1 by Jennifer Wilson on project strategize B2B relationships,2024-06-12 03:51:59.693443,strategize B2B relationships,4
1,ceff9281-6fe4-4111-98de-6da2cfe955dd,4,strategize B2B relationships,Commit 2 by Jennifer Wilson on project strategize B2B relationships,2024-06-15 07:36:04.306059,strategize B2B relationships,4
1,ceff9281-6fe4-4111-98de-6da2cfe955dd,4,strategize B2B relationships,Commit 3 by Jennifer Wilson on project strategize B2B relationships,2024-06-14 16:08:32.085556,strategize B2B relationships,4
1,ceff9281-6fe4-4111-98de-6da2cfe955dd,4,strategize B2B relationships,Commit 4 by Jennifer Wilson on project strategize B2B relationships,2024-06-11 23:34:08.583970,strategize B2B relationships,4
1,ceff9281-6fe4-4111-98de-6da2cfe955dd,4,strategize B2B relationships,Commit 5 by Jennifer Wilson on project strategize B2B relationships,2024-06-21 10:16:22.266241,strategize B2B relationships,4
1,ceff9281-6fe4-4111-98de-6da2cfe955dd,4,strategize B2B relationships,Commit 6 by Jennifer Wilson on project strategize B2B relationships,2024-06-03 14:49:27.392497,strategize B2B relationships,4
1,ceff9281-6fe4-4111-98de-6da2cfe955dd,4,strategize B2B relationships,Commit 7 by Jennifer Wilson on project strategize B2B relationships,2024-06-02 07:39:37.015829,strategize B2B relationships,4
2,19c7bf25-614f-49c6-80fc-85aaeae46031,8,reinvent vertical networks,Commit 1 by Elizabeth Smith on project reinvent vertical networks,2023-06-21 00:19:43.091251,reinvent vertical networks,11
2,19c7bf25-614f-49c6-80fc-85aaeae46031,8,reinvent vertical networks,Commit 2 by Elizabeth Smith on project reinvent vertical networks,2023-07-13 13:12:06.118686,reinvent vertical networks,11
2,19c7bf25-614f-49c6-80fc-85aaeae46031,8,reinvent vertical networks,Commit 3 by Elizabeth Smith on project reinvent vertical networks,2024-06-27 22:58:05.557106,reinvent vertical networks,11
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Commit 1 by Douglas Rollins on project productize cross-platform supply-chains,2023-11-04 20:33:42.245404,productize cross-platform supply-chains,5
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Commit 2 by Douglas Rollins on project productize cross-platform supply-chains,2023-09-23 08:19:27.602904,productize cross-platform supply-chains,5
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Commit 3 by Douglas Rollins on project productize cross-platform supply-chains,2023-09-11 19:02:27.770959,productize cross-platform supply-chains,5
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Commit 4 by Douglas Rollins on project productize cross-platform supply-chains,2023-09-09 00:01:37.927086,productize cross-platform supply-chains,5
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Commit 5 by Douglas Rollins on project productize cross-platform supply-chains,2023-10-21 00:47:18.880447,productize cross-platform supply-chains,5
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Commit 6 by Douglas Rollins on project productize cross-platform supply-chains,2024-03-24 10:10:43.709955,productize cross-platform supply-chains,5
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Commit 7 by Douglas Rollins on project productize cross-platform supply-chains,2024-03-20 01:16:27.014228,productize cross-platform supply-chains,5
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Commit 8 by Douglas Rollins on project productize cross-platform supply-chains,2023-09-07 13:43:17.599414,productize cross-platform supply-chains,5
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Commit 9 by Douglas Rollins on project productize cross-platform supply-chains,2024-02-16 06:33:23.471440,productize cross-platform supply-chains,5
3,b7e369fe-5beb-47bd-ba5e-00beb18e4aec,19,productize cross-platform supply-chains,Commit 10 by Douglas Rollins on project productize cross-platform supply-chains,2024-03-05 00:54:10.124012,productize cross-platform supply-chains,5
